3,4,0,9,7,3,8,2,2,2,21,0,0,0,0,0,0,6,1
4,1,1,2,5,6,1,1,4,2,12,0,0,0,0,0,0,2,1
6,1,0,3,18,0,0,3,4,0,89,0,0,0,0,1,1,13,1.3333
3,3,0,4,19,0,1,4,1,0,105,0,0,0,0,1,1,33,1.3333
5,3,0,3,19,4,0,3,4,0,134,1,0,0,0,2,2,25,2.2
6,4,0,11,40,0,0,11,3,0,237,0,1,0,0,1,2,37,3.1667
7,1,8,19,30,11,15,17,7,1,153,0,0,0,0,0,0,18,1.1429
2,1,0,5,6,0,1,5,1,0,22,0,1,0,0,0,0,9,1
11,4,0,8,38,55,0,8,10,2,122,0,0,0,0,1,1,10,1.0909
14,1,0,6,27,45,2,5,12,0,233,0,2,0,0,1,1,15,2.1429
3,5,2,3,6,3,2,1,0,1,16,1,0,1,0,0,0,4,1
44,1,0,98,104,340,78,21,38,0,1493,1,1,0,0,0,0,32,2.0227
2,3,0,11,3,1,8,3,2,2,9,0,0,0,0,1,1,3,1
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
38,1,0,8,72,271,2,7,31,0,824,1,0,0,0,1,1,20,2.2105
3,3,0,3,16,1,0,3,1,0,86,1,0,0,0,2,4,27,3
2,1,0,4,4,1,2,3,1,1,12,0,1,0,0,0,0,4,1
2,1,0,1,5,0,1,1,2,0,16,0,1,0,0,0,0,6,1
1,1,0,2,3,0,1,1,0,2,56,0,0,0,0,0,0,54,1
2,6,0,2,9,1,0,2,1,2,16,0,0,0,1,1,1,7,1
4,1,0,2,11,6,1,1,3,2,67,0,0,0,0,0,0,15,1.75
2,1,0,2,4,0,1,2,0,0,34,1,1,0,0,0,0,13,1
1,1,0,2,3,0,1,1,0,2,28,0,0,0,0,0,0,26,1
6,1,0,5,8,0,4,1,5,0,66,0,3,0,0,1,1,9,1.5
9,2,0,3,20,0,1,3,8,0,164,0,3,0,0,1,4,16,1.7778
2,2,0,4,7,1,1,4,2,1,45,0,1,0,0,0,0,20,3
2,1,0,1,4,0,1,0,1,0,29,0,0,0,0,0,0,12,1.5
8,2,0,14,25,8,6,10,6,0,72,1,0,0,0,1,2,7,1
4,1,0,3,8,4,0,3,4,0,50,1,0,0,0,0,0,11,1.5
9,2,0,8,23,0,5,5,6,0,118,1,2,0,0,1,1,11,1.2222
5,1,0,2,11,0,1,2,4,0,103,1,1,0,0,0,0,19,1
4,4,0,0,8,6,0,0,4,1,21,1,0,1,0,0,0,4,1
2,2,0,1,10,0,1,0,2,0,45,1,0,0,0,0,0,21,1.5
5,3,0,4,20,0,1,3,5,0,65,1,0,0,0,0,0,11,1
8,1,0,11,35,24,11,1,3,0,716,1,0,0,0,0,0,88,9.625
11,1,0,4,22,0,1,3,10,0,133,1,0,0,0,1,1,10,1.6364
4,1,0,1,5,6,0,1,0,2,20,0,0,0,0,0,0,4,1
50,1,8,28,155,1053,8,20,4,0,1540,1,12,0,0,0,0,29,3.62
